bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1946063,2160,HR130,1,Introduced,2025-01-29,"Recognizing February 12, 2025, as Coastal Bend Day at the State Capitol.","Recognizing February 12, 2025, as Coastal Bend Day at the State Capitol.",0,,2025-01-29,Filed,https://legiscan.com/TX/bill/HR130/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR130
1946392,2160,HR131,1,Introduced,2025-01-29,"Recognizing February 4, 2025, as UTSA and UT Health San Antonio Day at the State Capitol.","Recognizing February 4, 2025, as UTSA and UT Health San Antonio Day at the State Capitol.",0,,2025-01-29,Filed,https://legiscan.com/TX/bill/HR131/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR131
1946453,2160,HR132,1,Introduced,2025-01-29,"Congratulating Tyler Wade of Terrell on winning the 2024 Professional Rodeo Cowboys Association Team Roping World Championship.","Congratulating Tyler Wade of Terrell on winning the 2024 Professional Rodeo Cowboys Association Team Roping World Championship.",0,,2025-01-29,Filed,https://legiscan.com/TX/bill/HR132/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR132
1946139,2160,HR133,1,Introduced,2025-01-29,"Recognizing February 4, 2025, as Cedar Creek Lake Day at the State Capitol.","Recognizing February 4, 2025, as Cedar Creek Lake Day at the State Capitol.",0,,2025-01-29,Filed,https://legiscan.com/TX/bill/HR133/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR133
1946220,2160,HR134,1,Introduced,2025-01-29,"Commending the Community Action Agencies of Texas.","Commending the Community Action Agencies of Texas.",0,,2025-01-29,Filed,https://legiscan.com/TX/bill/HR134/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR134
1946230,2160,HR135,1,Introduced,2025-01-29,"Recognizing February 6, 2025, as Howard County Day at the State Capitol.","Recognizing February 6, 2025, as Howard County Day at the State Capitol.",0,,2025-01-29,Filed,https://legiscan.com/TX/bill/HR135/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR135
1946127,2160,HR136,1,Introduced,2025-01-29,"In memory of Clyde Vance Dunnam of Waco.","In memory of Clyde Vance Dunnam of Waco.",0,,2025-01-29,Filed,https://legiscan.com/TX/bill/HR136/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR136
1946612,2160,HR137,1,Introduced,2025-01-29,"Honoring Frances ""Poppy"" Northcutt for her professional and civic achievements.","Honoring Frances ""Poppy"" Northcutt for her professional and civic achievements.",0,,2025-01-29,Filed,https://legiscan.com/TX/bill/HR137/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR137
1947297,2160,HR138,1,Introduced,2025-01-29,"Congratulating Susan Christian on her retirement as director of the Houston Mayor's Office of Special Events.","Congratulating Susan Christian on her retirement as director of the Houston Mayor's Office of Special Events.",0,,2025-01-29,Filed,https://legiscan.com/TX/bill/HR138/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR138
1947128,2160,HR139,1,Introduced,2025-01-29,"Recognizing February 20, 2025, as Baytown Day at the State Capitol.","Recognizing February 20, 2025, as Baytown Day at the State Capitol.",0,,2025-01-29,Filed,https://legiscan.com/TX/bill/HR139/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR139
1947874,2160,HR140,1,Introduced,2025-01-30,"In memory of Deputy Jesus ""Jesse"" Vargas of the Brazoria County Sheriff's Office.","In memory of Deputy Jesus ""Jesse"" Vargas of the Brazoria County Sheriff's Office.",0,,2025-01-30,Filed,https://legiscan.com/TX/bill/HR140/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HR140
