bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1891046,3026690,text,7091,text/html,Introduced,https://legiscan.com/TX/text/HB690/id/3026690,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00690I.htm
1891674,3028099,text,9055,text/html,Introduced,https://legiscan.com/TX/text/HB691/id/3028099,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00691I.htm
1891688,3027164,text,14616,text/html,Introduced,https://legiscan.com/TX/text/HB692/id/3027164,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00692I.htm
1890809,3026519,text,6225,text/html,Introduced,https://legiscan.com/TX/text/HB693/id/3026519,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00693I.htm
1891645,3027134,text,21051,text/html,Introduced,https://legiscan.com/TX/text/HB694/id/3027134,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00694I.htm
1890920,3026602,text,11521,text/html,Introduced,https://legiscan.com/TX/text/HB695/id/3026602,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00695I.htm
1891323,3026893,text,27147,text/html,Introduced,https://legiscan.com/TX/text/HB696/id/3026893,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00696I.htm
1891116,3026741,text,6113,text/html,Introduced,https://legiscan.com/TX/text/HB697/id/3026741,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00697I.htm
1891407,3026959,text,21402,text/html,Introduced,https://legiscan.com/TX/text/HB698/id/3026959,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00698I.htm
1891540,3027057,text,7812,text/html,Introduced,https://legiscan.com/TX/text/HB699/id/3027057,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00699I.htm
1891630,3027124,text,5962,text/html,Introduced,https://legiscan.com/TX/text/HB701/id/3027124,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00701I.htm
1891502,3027029,text,7752,text/html,Introduced,https://legiscan.com/TX/text/HB702/id/3027029,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00702I.htm
1890546,3026348,text,51376,text/html,Introduced,https://legiscan.com/TX/text/HB703/id/3026348,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00703I.htm
1891145,3026762,text,16641,text/html,Introduced,https://legiscan.com/TX/text/HB704/id/3026762,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00704I.htm
1891583,3027768,text,292396,text/html,Introduced,https://legiscan.com/TX/text/HB705/id/3027768,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00705I.htm
1890812,3026522,text,5470,text/html,Introduced,https://legiscan.com/TX/text/HB706/id/3026522,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00706I.htm
