bill_id,people_id,position
1891068,20230,1
1891069,21335,1
1891070,23184,1
1891071,16842,1
1891072,20230,1
1891073,5903,1
1891074,20235,1
1891075,19319,1
1891076,20173,1
1891077,20230,1
1891078,22433,1
1891079,16846,1
1891080,24080,1
1891081,24075,1
1891082,19686,1
1891083,11598,1
1891084,5903,1
1891085,5971,1
1891086,20235,1
1891087,5903,1
1891088,24085,1
1891089,5971,1
1891090,18682,1
1891091,24077,1
1891092,6032,1
1891093,15409,1
1891094,6032,1
1891095,17365,1
1891096,17365,1
1891097,15409,1
1891098,20805,1
1891099,11599,1
1891100,5997,1
1891101,20230,1
1891102,17365,1
1891104,5949,1
1891105,16847,1
1891106,20240,1
1891107,21336,1
1891108,20232,1
1891109,18029,1
1891110,15686,1
1891111,18029,1
1891112,22955,1
1891113,5920,1
1891114,17631,1
